tweet_id,user_id,user_name,followers,following,likes,retweets,date,reply_to_id,reply_to_username,user_mentions_ids,user_mentions_names,text,retweet_from_id,retweet_from_username,retweet_from_tweet_id
1271939272694775813,781154557,__Lexay,565,272,0,50,2020-06-13 22:55:28,,,['704222685862174720'],['LPLdirect'],"RT @LPLdirect: 🇺🇸[FLASH] - Rayshard #Brooks, un afro-américain, a été tué par la #police hier à #Atlanta. Il venait de voler un taser, puis…",704222685862174720,LPLdirect,1271929005273423872
1271939237034721280,3802850957,rayou212,143,263,0,1375,2020-06-13 22:55:20,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271939196077387777,1233169136899051520,NonAuFascime,60,353,0,1375,2020-06-13 22:55:10,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271939191543382021,230333096,ricardeautouss,5635,1362,0,1375,2020-06-13 22:55:09,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271939128502956032,854390550715392002,HasoftConcept,1975,108,0,2083,2020-06-13 22:54:54,,,['233532563'],['davidperrotin'],"RT @davidperrotin: Dans cette affaire où Maria, 19 ans, a eu le crâne ""fracassé"" alors qu'elle rentrait du travail, on a: 
2 refus de plain…",233532563,davidperrotin,1271190763729227778
1271938998706020352,1405788691,james_nou,18500,8429,0,1375,2020-06-13 22:54:23,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938981362622469,1069232268,LoveCousCous,482,597,0,1375,2020-06-13 22:54:19,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938927750979584,737032909228511232,marwa_sng,568,697,0,297,2020-06-13 22:54:06,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇫🇷 #Nice : un policier aurait touché plusieurs milliers d'euros de la part de trafiquants de #drogue, en échange d'informa…",1214315619031478272,Conflits_FR,1271887775290228737
1271938868451905536,1152892540145868801,blowyourmiiiind,115,111,0,1375,2020-06-13 22:53:52,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938840496943107,704789771164459009,AchessT,928,888,0,0,2020-06-13 22:53:45,335287374,alysea1,"['335287374', '1079733869274902529', '164713706']","['alysea1', 'PSG_YoungWolf', 'prefpolice']",@alysea1 @PSG_YoungWolf @prefpolice Car ils representent la republique. Il faut nettoyer la police et il faut que ceux qui trouvent ça anormal osent les denoncer sans se faire traiter de balance (témoignage d'un policier),,,
1271938772800868353,1060160440775393280,ChenSpecter,3736,218,0,1375,2020-06-13 22:53:29,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938631566077953,132194798,aK_Ik29,299,913,0,0,2020-06-13 22:52:55,807023612,BFMPolitique,['807023612'],['BFMPolitique'],"@BFMPolitique  bravo, quand un syndicaliste policier tient des propos racistes en disant que ses collègues ne le sont pas... Ce n est pas une généralité dans la police, mais la, un mauvais client...",,,
1271938628403462144,857665585051820036,rayan_ndj,220,360,0,1375,2020-06-13 22:52:55,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938619050205184,572822105,boubouche73,150,159,0,44,2020-06-13 22:52:52,,,['900147812'],['__nuMa'],"RT @__nuMa: Comment défendre l'indéfendable... 
Être raciste est légal
il y a du racisme dans la police
son client (un policier) n'accepte…",900147812,__nuMa,1271731381983379457
1271938618462998528,953437530,Aureoo_10,61,130,0,1375,2020-06-13 22:52:52,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938549466660867,1160644547149475842,shvi___,13,12,0,1375,2020-06-13 22:52:36,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938506395463680,746413179245256704,Itvchi_boii,2276,1062,0,1375,2020-06-13 22:52:26,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938456068001793,603702586,Nicolasgobertt,383,791,0,1375,2020-06-13 22:52:14,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938403748188163,1050395850793517056,Aloyah_Fl,76,117,0,758,2020-06-13 22:52:01,,,['1214315619031478272'],['Conflits_FR'],RT @Conflits_FR: 🇫🇷 FLASH - Tensions à #Republique. Un #policier se prend un coup de pied d'un Black block par derrière. D'autres tombent e…,1214315619031478272,Conflits_FR,1271833653451149312
1271938400996732929,1267010137866338305,HikariSpades,6,114,0,758,2020-06-13 22:52:00,,,['1214315619031478272'],['Conflits_FR'],RT @Conflits_FR: 🇫🇷 FLASH - Tensions à #Republique. Un #policier se prend un coup de pied d'un Black block par derrière. D'autres tombent e…,1214315619031478272,Conflits_FR,1271833653451149312
1271938314451501056,73280895,richardhetu,37154,2002,23,10,2020-06-13 22:51:40,,,[],[],L’utilisation d’un pistolet Taser par un homme noir contre un policier lui vaut une balle dans le dos alors qu’il fuyait. Sa mort dans le parking d’un Wendy’s hier soir entraîne la démission de la chef de police d’Atlanta quelques heures plus tard. https://t.co/0vG482luDA,,,
1271938282822172673,466922042,PadaWass,295,1005,0,1375,2020-06-13 22:51:32,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938264514146304,619715768,BougeardClaude,49,187,0,0,2020-06-13 22:51:28,847396122,PoliceNationale,['847396122'],['PoliceNationale'],"@PoliceNationale Honteux castaner, macron aucun soutien envers la police alors qu'ils sont le plus souvent victime et même assassinés parce que policier. La France protège donc les voyous c'est honteux ⚖️",,,
1271938168800108544,1070573140781219841,rckw__,15,17,0,297,2020-06-13 22:51:05,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇫🇷 #Nice : un policier aurait touché plusieurs milliers d'euros de la part de trafiquants de #drogue, en échange d'informa…",1214315619031478272,Conflits_FR,1271887775290228737
1271938140945645568,368909766,Grandmechantwil,900,334,0,1375,2020-06-13 22:50:58,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271938002357497857,210776763,jijiweiguan,1624,2230,0,50,2020-06-13 22:50:25,,,['704222685862174720'],['LPLdirect'],"RT @LPLdirect: 🇺🇸[FLASH] - Rayshard #Brooks, un afro-américain, a été tué par la #police hier à #Atlanta. Il venait de voler un taser, puis…",704222685862174720,LPLdirect,1271929005273423872
1271937987778150406,737032909228511232,marwa_sng,568,697,0,1375,2020-06-13 22:50:22,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937876473896960,1033381161131810816,Daa7da,91,282,0,1375,2020-06-13 22:49:55,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
1271937874192146432,1083086684,JadeSerra1,1157,596,0,1375,2020-06-13 22:49:55,,,['1214315619031478272'],['Conflits_FR'],"RT @Conflits_FR: 🇺🇸 ALERTE - La #police d'#Atlanta a tué Rayshard #Brooks, un Afro Américain, hier. Il avait volé un #taser, s'était enfui,…",1214315619031478272,Conflits_FR,1271927753164468224
